id,bidder,price
c45ad0f9-5006-4808-b7b3-e2332f99baa9,bffe510f-0daf-4e49-a43a-b5747a119bcc,20000
fdc32b22-c28f-4a57-ac17-e63b38a9f577,8db769be-b79a-478a-8a22-806d553ebdf0,45000
8d315d52-4be5-4dc5-af9f-61c7cb9ac55d,9768d6e7-f27c-4dc8-943c-a54422a5e955,21000
4d5f2f23-bde9-4537-a162-c71d381be158,d6b838de-087a-4c10-b8cf-6ec7f65372a2,3400
9d595829-e5c6-4fb7-9707-11740021ac7d,8b0ac698-1768-483e-ba09-c754341a15c9,4000
f1315f6d-b547-4ecc-b3c0-98fdad34a954,8db769be-b79a-478a-8a22-806d553ebdf0,22000
8dcccf97-0f32-4461-9bb2-9d7f8c383feb,f9e11582-1169-45b3-ba87-114a49c1ee3d,15000
f553ddda-63cf-4be7-ab4d-a9238bdb4371,8db769be-b79a-478a-8a22-806d553ebdf0,49000
fe33435a-2dd5-4b0e-bd46-f42cb3cfbcf5,e99d453e-adbd-4f0d-94bb-e58f4601128d,16000
1ed8024a-5077-4c49-990b-13692bdaf3bc,f9e11582-1169-45b3-ba87-114a49c1ee3d,18000
8ae504a8-297a-4009-9ded-830d34fe25e9,d6b838de-087a-4c10-b8cf-6ec7f65372a2,5000
97b9e1b3-c464-44b9-ac77-38e6570fa94e,bffe510f-0daf-4e49-a43a-b5747a119bcc,23000
5fc99c19-40a4-4310-977a-0a6214bdb70e,e99d453e-adbd-4f0d-94bb-e58f4601128d,19000
f35a5d8f-6c4a-4ed7-868d-a5d833844f71,8b0ac698-1768-483e-ba09-c754341a15c9,5100
