closeAuction,2021-31-27 07:31:23
addUser,2021-35-27 07:35:33
addUser,2021-35-27 07:35:33
addUser,2021-35-27 07:35:33
addUser,2021-35-27 07:35:33
addUser,2021-35-27 07:35:33
addUser,2021-35-27 07:35:33
addUser,2021-35-27 07:35:33
addUser,2021-35-27 07:35:33
addUser,2021-35-27 07:35:33
getUsers,2021-35-27 07:35:33
getUsers,2021-35-27 07:35:33
getUsers,2021-35-27 07:35:33
getUsers,2021-35-27 07:35:33
getUsers,2021-35-27 07:35:33
getUsers,2021-35-27 07:35:33
getUsers,2021-35-27 07:35:33
getUsers,2021-35-27 07:35:33
getUsers,2021-35-27 07:35:33
getUsers,2021-35-27 07:35:33
getUsers,2021-35-27 07:35:33
getUsers,2021-35-27 07:35:33
getUsers,2021-35-27 07:35:33
getUsers,2021-35-27 07:35:33
getUsers,2021-35-27 07:35:33
getUsers,2021-35-27 07:35:33
startAuction,2021-35-27 07:35:33
placeBid,2021-35-27 07:35:33
closeAuction,2021-35-27 07:35:33
getUsers,2021-35-27 07:35:33
startAuction,2021-35-27 07:35:33
placeBid,2021-35-27 07:35:33
closeAuction,2021-35-27 07:35:33
getUsers,2021-35-27 07:35:33
startAuction,2021-35-27 07:35:33
placeBid,2021-35-27 07:35:33
closeAuction,2021-35-27 07:35:33
getUsers,2021-35-27 07:35:33
startAuction,2021-35-27 07:35:33
placeBid,2021-35-27 07:35:33
closeAuction,2021-35-27 07:35:33
logInUser,2021-35-27 07:35:50
getAuctionWinners,2021-35-27 07:35:54
getMostExpensiveProductsSold,2021-35-27 07:35:56
